km_driven,mileage,engine,max_power,age,make,Individual,Vehical_type,fuel_type,seat
120000,19.7,796.0,46.3,11.0,MARUTI,1,1,4,5
20000,18.9,1197.0,82.0,7.0,HYUNDAI,1,1,4,5
60000,17.0,1197.0,80.0,13.0,HYUNDAI,1,1,4,5
37000,20.92,998.0,67.1,11.0,MARUTI,1,1,4,5
30000,22.77,1498.0,98.59,8.0,FORD,0,1,1,5
35000,18.9,998.0,67.1,10.0,MARUTI,1,1,4,5
40000,20.36,1197.0,78.9,10.0,HYUNDAI,0,1,4,5
17512,20.51,998.0,67.04,5.0,MARUTI,0,1,4,5
20000,18.15,998.0,118.35,4.0,HYUNDAI,1,0,4,5
70000,18.49,1493.0,100.0,6.0,MAHINDRA,0,1,1,7
50000,19.09,1405.0,69.01,8.0,TATA,1,1,1,5
18000,20.37,1461.0,108.49,4.0,RENAULT,1,1,1,5
28321,16.6,1197.0,85.0,6.0,MARUTI,0,1,4,5
27000,19.34,1198.0,76.0,7.0,NISSAN,0,0,4,5
65278,22.32,1582.0,126.32,10.0,HYUNDAI,0,1,1,5
50000,19.64,1461.0,108.45,7.0,RENAULT,1,1,1,5
6000,14.41,1998.0,189.08,6.0,MINI,0,0,4,5
76000,28.09,1248.0,88.5,7.0,MARUTI,0,1,1,5
20000,25.2,1248.0,74.0,7.0,MARUTI,1,1,1,5
65000,19.27,2143.0,170.0,9.0,MERCEDES-BENZ,0,0,1,5
62200,28.4,1248.0,74.0,9.0,MARUTI,0,1,1,5
110000,12.99,2494.0,100.6,10.0,TOYOTA,1,1,1,7
20000,21.4,1197.0,83.1,8.0,MARUTI,1,1,4,5
40000,20.85,1197.0,83.14,7.0,MARUTI,1,1,4,5
97000,17.8,1248.0,76.0,11.0,FIAT,1,1,1,5
47000,16.09,1598.0,103.2,10.0,VOLKSWAGEN,0,1,4,5
25000,20.92,998.0,67.1,10.0,MARUTI,0,1,4,5
15000,19.67,1582.0,126.2,4.0,HYUNDAI,1,1,1,5
56823,14.02,2179.0,118.3,13.0,MAHINDRA,0,1,1,7
50000,17.4,1497.0,117.3,8.0,HONDA,1,1,4,5
25000,13.6,2523.0,63.0,12.0,MAHINDRA,1,1,1,7
90000,26.59,1248.0,74.0,8.0,MARUTI,1,1,1,5
45000,26.59,1248.0,74.0,10.0,MARUTI,0,1,1,5
77253,17.7,1497.0,78.0,16.0,HONDA,0,1,4,5
25000,17.19,1197.0,81.86,5.0,HYUNDAI,1,1,4,5
110000,13.0,2982.0,168.5,10.0,TOYOTA,1,1,1,7
30000,23.01,999.0,67.0,6.0,RENAULT,1,1,4,5
39993,18.6,1199.0,88.76,7.0,HONDA,0,1,4,5
80000,17.92,1086.0,62.1,14.0,HYUNDAI,1,1,4,5
185000,15.1,2179.0,140.0,11.0,MAHINDRA,1,1,1,7
90000,23.4,1248.0,74.0,10.0,MARUTI,1,1,1,5
60000,14.0,2498.0,112.0,14.0,MAHINDRA,1,1,1,7
90000,22.1,1248.0,74.0,9.0,CHEVROLET,1,1,1,5
20000,19.1,1197.0,82.0,8.0,HYUNDAI,1,1,4,5
15000,22.54,1396.0,88.73,5.0,HYUNDAI,1,1,1,5
40000,18.6,1197.0,81.83,5.0,HYUNDAI,1,1,4,5
31180,18.0,1497.0,117.3,8.0,HONDA,0,0,4,5
40000,18.49,1493.0,100.0,5.0,MAHINDRA,1,0,1,7
50000,16.1,796.0,37.0,19.0,MARUTI,1,1,4,2
58000,19.09,1396.0,69.0,8.0,TATA,1,1,1,5
56000,23.4,1248.0,74.0,9.0,MARUTI,0,1,1,5
93000,20.5,1248.0,91.7,12.0,FIAT,1,1,1,5
86000,12.2,1817.0,75.0,13.0,AMBASSADOR,0,1,4,5
120000,17.8,1248.0,5.0,12.0,MARUTI,1,1,1,5
52427,21.4,1197.0,83.1,7.0,MARUTI,0,0,4,5
40000,21.0,1498.0,74.96,3.0,MAHINDRA,1,1,1,7
70000,26.0,624.0,35.0,12.0,TATA,1,1,4,2
17000,18.15,1198.0,82.0,5.0,MAHINDRA,1,1,4,5
54325,17.6,1496.0,88.73,11.0,TOYOTA,0,1,4,5
22000,15.4,1590.0,94.0,7.0,MARUTI,0,1,4,5
54000,20.85,1197.0,83.14,7.0,MARUTI,1,1,4,5
10000,20.51,998.0,67.04,4.0,MARUTI,1,1,4,5
20000,20.89,1197.0,81.8,4.0,MARUTI,1,1,4,5
61000,14.53,1798.0,138.1,12.0,TOYOTA,0,1,4,5
53237,26.6,998.0,58.16,5.0,MARUTI,0,1,4,5
27263,22.5,999.0,68.0,5.0,DATSUN,1,1,4,5
90000,25.0,1396.0,69.01,9.0,TATA,1,1,1,5
110000,22.32,1582.0,126.3,9.0,HYUNDAI,1,1,1,5
70000,22.54,1396.0,88.73,7.0,HYUNDAI,1,1,1,5
70000,26.59,1248.0,74.0,6.0,MARUTI,1,1,1,5
190000,19.1,1405.0,70.0,9.0,TATA,1,1,1,5
40000,25.4,1186.0,73.97,6.0,HYUNDAI,1,1,1,5
39000,18.6,1197.0,81.83,4.0,HYUNDAI,0,1,4,5
56000,17.8,1086.0,63.0,16.0,HYUNDAI,0,1,4,5
58000,14.53,1794.0,138.1,14.0,TOYOTA,0,0,4,5
40000,16.8,796.0,34.2,6.0,MARUTI,1,1,4,7
34000,18.6,1197.0,81.83,5.0,HYUNDAI,1,1,4,5
50000,15.4,1997.0,120.0,6.0,MAHINDRA,1,1,1,7
77400,20.54,1598.0,103.6,11.0,VOLKSWAGEN,1,1,1,5
36000,17.3,1497.0,121.0,4.0,MAHINDRA,1,1,1,7
47876,25.0,1493.0,113.42,10.0,HYUNDAI,0,1,1,5
21500,15.1,2179.0,152.87,5.0,MAHINDRA,1,0,1,7
75000,24.0,1120.0,70.0,8.0,HYUNDAI,0,1,1,5
58000,18.16,1196.0,86.8,6.0,FORD,0,1,4,5
30000,21.21,1197.0,81.8,5.0,MARUTI,1,1,4,5
50000,24.0,1186.0,73.97,5.0,HYUNDAI,1,1,1,5
19093,18.16,1196.0,86.8,6.0,FORD,0,1,4,5
50000,18.0,1198.0,86.7,9.0,HONDA,1,1,4,5
37000,14.0,1061.0,64.0,17.0,MARUTI,0,1,4,5
3888,23.5,909.0,45.0,4.0,MAHINDRA,1,1,1,7
47000,26.59,1248.0,74.0,7.0,MARUTI,0,1,1,5
70000,16.8,1497.0,116.3,10.0,HONDA,1,1,4,5
25000,25.17,799.0,53.3,7.0,RENAULT,1,1,4,5
26000,24.3,1248.0,88.5,5.0,MARUTI,0,1,1,5
30000,18.16,1196.0,86.8,6.0,FORD,1,1,4,5
15000,18.5,1197.0,82.9,10.0,HYUNDAI,1,1,4,5
160000,17.8,1248.0,75.0,12.0,MARUTI,1,1,1,5
32100,23.84,1199.0,84.0,6.0,TATA,1,1,4,5
22000,18.5,1197.0,82.9,7.0,HYUNDAI,0,1,4,5
44000,15.4,2179.0,120.0,7.0,MAHINDRA,0,1,1,7
78000,18.78,1198.0,74.0,7.0,VOLKSWAGEN,0,1,4,5
74352,11.74,1796.0,186.0,11.0,MERCEDES-BENZ,0,0,4,5
37000,20.51,998.0,67.04,9.0,MARUTI,1,1,4,5
69000,25.1,1498.0,98.6,9.0,HONDA,0,1,1,5
12120,16.8,1497.0,113.4,4.0,KIA,1,1,4,5
52000,21.01,1197.0,81.8,7.0,MARUTI,0,1,4,5
120000,12.99,2494.0,100.6,7.0,TOYOTA,1,1,1,7
55000,22.74,796.0,47.3,10.0,MARUTI,1,1,4,5
160000,21.9,1396.0,90.0,12.0,HYUNDAI,1,1,1,5
42000,25.44,936.0,56.3,11.0,CHEVROLET,0,1,1,5
40000,15.6,1196.0,70.0,12.0,FORD,1,1,4,5
46000,19.1,1197.0,85.8,11.0,MARUTI,0,1,4,5
25000,21.4,1197.0,83.1,6.0,MARUTI,0,1,4,5
240000,23.59,1364.0,67.05,8.0,TOYOTA,1,1,1,5
90000,22.07,1199.0,73.9,10.0,VOLKSWAGEN,0,1,1,5
49566,18.5,1197.0,82.85,11.0,HYUNDAI,0,1,4,5
14000,22.0,1582.0,126.2,5.0,HYUNDAI,0,0,1,5
11000,18.6,1197.0,81.83,7.0,HYUNDAI,0,1,4,5
5000,23.1,998.0,67.04,5.0,MARUTI,1,0,4,5
55000,23.0,1498.0,98.96,6.0,FORD,0,1,1,5
65000,19.08,1582.0,126.32,11.0,HYUNDAI,0,0,1,5
22000,23.01,999.0,67.0,5.0,RENAULT,1,1,4,5
7671,21.01,1197.0,81.8,5.0,MARUTI,0,1,4,5
66000,20.51,998.0,67.04,7.0,MARUTI,1,1,4,5
45156,21.21,1197.0,81.8,5.0,MARUTI,0,0,4,5
25000,18.27,998.0,118.35,4.0,HYUNDAI,1,1,4,5
70000,20.45,1461.0,83.8,8.0,NISSAN,1,1,1,5
120000,23.9,1582.0,126.2,8.0,HYUNDAI,1,1,1,5
28000,16.1,1197.0,85.0,9.0,MARUTI,0,1,4,5
55000,21.9,1396.0,88.76,10.0,HYUNDAI,0,1,1,5
104000,14.66,2199.0,194.3,12.0,HYUNDAI,1,1,1,7
14000,22.0,1582.0,126.2,4.0,HYUNDAI,0,0,1,5
18000,20.14,1197.0,81.86,6.0,HYUNDAI,1,1,4,5
98780,18.9,998.0,67.1,14.0,MARUTI,0,1,4,5
58000,25.2,1248.0,74.0,8.0,MARUTI,0,1,1,5
30000,20.92,998.0,67.1,12.0,MARUTI,1,1,4,5
46400,15.4,2179.0,120.0,7.0,MAHINDRA,0,1,1,7
32111,19.81,1086.0,68.05,9.0,HYUNDAI,0,1,4,5
35000,19.44,1198.0,67.0,8.0,DATSUN,1,1,4,7
30000,15.4,1997.0,120.0,6.0,MAHINDRA,0,1,1,7
63000,18.59,2993.0,261.49,7.0,BMW,0,0,1,5
